Student_ID,Gender,Age,Study_Hours,Attendance,Previous_Score,Final_Score,Performance
1,Male,19,5.7,71,76,75,Good
2,Female,21,1.3,95,60,58,Needs Improvement
3,Male,22,4.1,89,76,69,Good
4,Male,22,4.3,95,82,62,Good
5,Male,19,7.2,78,72,68,Good
6,Female,18,3.3,81,60,55,Needs Improvement
7,Male,21,6.9,83,64,62,Good
8,Male,22,2.4,77,74,66,Good
9,Male,19,6.9,84,73,69,Good
10,Female,22,3.6,98,87,65,Good
11,Male,21,4.6,69,66,52,Needs Improvement
12,Male,21,3.9,75,57,64,Good
13,Male,20,6.8,74,100,77,Good
14,Male,19,6.5,81,72,56,Needs Improvement
15,Female,21,5.3,81,82,66,Good
16,Male,20,2.4,90,77,53,Needs Improvement
17,Female,20,3.2,82,73,65,Good
18,Female,22,2.6,85,67,47,Needs Improvement
19,Female,22,0.5,86,35,35,Needs Improvement
20,Male,20,6.8,84,55,60,Good
21,Female,22,3.9,89,75,70,Good
22,Male,21,3.9,81,35,43,Needs Improvement
23,Female,18,7.2,98,71,65,Good
24,Female,21,3.6,100,79,69,Good
25,Female,20,3.0,89,82,63,Good
26,Female,20,4.1,84,78,71,Good
27,Female,21,2.5,88,83,69,Good
28,Female,22,5.1,71,92,68,Good
29,Female,22,3.8,84,85,72,Good
30,Female,20,3.6,75,73,61,Good
31,Male,19,3.4,87,68,66,Good
32,Male,22,4.3,75,72,64,Good
33,Female,21,4.7,79,66,62,Good
34,Female,22,3.6,63,86,70,Good
35,Female,21,3.9,70,78,61,Good
36,Male,20,4.4,86,65,56,Needs Improvement
37,Female,22,4.2,73,89,69,Good
38,Male,21,4.6,93,66,60,Good
39,Male,20,3.3,72,57,53,Needs Improvement
40,Male,19,6.3,87,70,67,Good
41,Male,21,4.7,74,58,56,Needs Improvement
42,Male,19,3.6,86,83,61,Good
43,Female,19,5.1,67,58,56,Needs Improvement
44,Female,18,4.4,77,68,53,Needs Improvement
45,Female,22,1.4,74,83,64,Good
46,Female,21,5.1,91,60,65,Good
47,Female,19,2.7,87,76,63,Good
48,Male,18,6.2,70,56,57,Needs Improvement
49,Female,20,4.1,80,73,61,Good
50,Female,21,5.9,74,78,64,Good
51,Male,19,3.4,92,69,61,Good
52,Female,22,4.6,95,70,75,Good
53,Male,18,6.7,68,76,67,Good
54,Female,19,4.0,90,66,54,Needs Improvement
55,Male,22,3.4,74,82,55,Needs Improvement
56,Female,19,5.7,79,89,65,Good
57,Female,21,5.6,82,57,56,Needs Improvement
58,Male,21,3.5,100,95,82,Excellent
59,Male,21,0.9,72,66,44,Needs Improvement
60,Male,18,3.4,90,98,81,Excellent
61,Male,21,5.7,70,66,61,Good
62,Male,22,3.1,70,80,63,Good
63,Male,19,4.5,82,80,69,Good
64,Male,20,3.3,82,65,59,Needs Improvement
65,Male,22,1.0,54,71,46,Needs Improvement
66,Female,22,3.3,94,90,59,Needs Improvement
67,Female,21,5.7,61,65,54,Needs Improvement
68,Male,18,0.5,81,64,45,Needs Improvement
69,Female,19,5.0,95,54,59,Needs Improvement
70,Female,18,2.4,100,92,73,Good
71,Female,19,5.6,78,63,58,Needs Improvement
72,Female,19,5.8,68,87,78,Good
73,Male,18,4.2,95,62,57,Needs Improvement
74,Female,22,4.2,91,86,59,Needs Improvement
75,Male,19,3.0,77,81,63,Good
76,Female,18,2.1,76,67,59,Needs Improvement
77,Female,19,7.6,75,60,63,Good
78,Female,20,2.9,79,61,51,Needs Improvement
79,Male,22,7.3,85,61,65,Good
80,Female,21,3.0,76,85,73,Good
81,Male,19,5.4,78,72,59,Needs Improvement
82,Female,20,2.5,88,54,51,Needs Improvement
83,Male,21,5.4,67,66,62,Good
84,Female,21,3.9,78,68,60,Good
85,Male,19,3.9,65,40,41,Needs Improvement
86,Male,18,5.6,83,67,61,Good
87,Female,19,3.7,63,80,59,Needs Improvement
88,Male,20,1.9,91,68,60,Good
89,Female,21,5.9,69,74,66,Good
90,Female,19,2.4,64,77,67,Good
91,Female,18,5.4,78,65,53,Needs Improvement
92,Female,19,6.3,99,80,83,Excellent
93,Female,22,3.8,89,90,70,Good
94,Female,18,6.6,63,49,51,Needs Improvement
95,Female,20,5.4,69,65,63,Good
96,Female,21,3.2,78,100,76,Good
97,Female,19,7.0,100,72,78,Good
98,Female,18,2.4,73,70,62,Good
99,Female,22,3.8,73,66,56,Needs Improvement
100,Male,18,4.1,97,88,80,Excellent
101,Male,22,5.6,84,57,55,Needs Improvement
102,Female,20,6.5,93,83,73,Good
103,Female,21,6.4,75,66,61,Good
104,Female,20,4.9,81,60,55,Needs Improvement
105,Female,19,4.0,95,67,62,Good
106,Female,18,1.2,81,69,58,Needs Improvement
107,Female,22,2.1,93,63,59,Needs Improvement
108,Female,22,7.7,86,86,74,Good
109,Female,18,1.2,72,60,44,Needs Improvement
110,Male,18,3.1,82,72,55,Needs Improvement
111,Female,19,6.6,92,78,73,Good
112,Male,20,4.9,89,72,57,Needs Improvement
113,Female,22,6.2,82,81,66,Good
114,Female,19,5.5,63,64,54,Needs Improvement
115,Male,20,7.1,64,79,73,Good
116,Female,19,5.0,66,79,63,Good
117,Male,22,5.7,77,84,75,Good
118,Female,18,3.2,78,44,46,Needs Improvement
119,Female,18,5.6,67,77,62,Good
120,Male,20,3.8,92,83,66,Good
121,Female,21,3.7,69,64,48,Needs Improvement
122,Male,20,6.1,68,62,70,Good
123,Female,21,6.1,83,60,66,Good
124,Male,19,7.5,92,56,67,Good
125,Male,19,7.4,100,79,70,Good
126,Female,22,6.2,88,100,79,Good
127,Female,21,1.4,98,62,50,Needs Improvement
128,Male,22,7.8,70,63,63,Good
129,Female,18,6.2,100,70,65,Good
130,Female,21,3.1,63,48,40,Needs Improvement
131,Female,20,5.8,77,60,54,Needs Improvement
132,Male,18,2.6,88,69,57,Needs Improvement
133,Male,18,5.6,66,57,55,Needs Improvement
134,Male,20,2.1,73,87,61,Good
135,Male,18,3.0,71,52,55,Needs Improvement
136,Male,21,5.8,79,83,74,Good
137,Male,22,6.4,96,91,75,Good
138,Male,18,5.1,82,75,67,Good
139,Male,21,4.0,77,68,55,Needs Improvement
140,Male,19,0.7,53,73,46,Needs Improvement
141,Female,21,4.1,87,64,61,Good
142,Male,22,5.5,90,41,55,Needs Improvement
143,Female,21,3.9,65,56,47,Needs Improvement
144,Female,20,4.5,81,70,56,Needs Improvement
145,Female,22,4.2,84,57,56,Needs Improvement
146,Male,19,3.9,92,64,62,Good
147,Male,20,4.6,75,77,60,Good
148,Male,21,4.0,73,72,64,Good
149,Male,22,7.1,77,85,77,Good
150,Female,19,0.5,95,74,54,Needs Improvement
151,Male,20,3.5,92,75,70,Good
152,Male,19,2.9,82,60,59,Needs Improvement
153,Male,21,4.9,92,51,66,Good
154,Male,19,4.6,58,64,62,Good
155,Male,18,7.4,90,60,60,Good
156,Female,20,8.0,71,68,70,Good
157,Male,19,3.1,100,55,60,Good
158,Female,21,4.5,71,82,63,Good
159,Male,21,4.9,73,60,58,Needs Improvement
160,Female,19,3.1,88,65,48,Needs Improvement
161,Male,21,5.6,89,70,56,Needs Improvement
162,Male,22,4.1,78,86,59,Needs Improvement
163,Female,22,2.6,86,95,72,Good
164,Female,22,4.0,87,96,76,Good
165,Female,18,2.7,86,52,48,Needs Improvement
166,Male,19,6.4,78,65,71,Good
167,Female,18,7.9,87,62,71,Good
168,Male,21,4.9,96,75,60,Good
169,Male,18,4.7,70,74,60,Good
